id,label,channel,category,text,pattern_source
1,scam,WhatsApp,Account Block,Your UPI account is under verification. Provide OTP to continue.,synthetic_generated
2,scam,SMS,Overpayment,Your electricity bill Rs 22355 unpaid. Pay now via http://refund-portal.org to avoid disconnection.,synthetic_generated
3,scam,WhatsApp,Account Block,Your UPI account is under verification. Provide OTP to continue.,synthetic_generated
4,scam,SMS,Account Block,Your electricity bill Rs 18412 unpaid. Pay now via http://upi-helpdesk.net to avoid disconnection.,synthetic_generated
5,scam,SMS,Cashback Scam,Fake receipt generated of Rs 42382. Confirm immediately: http://refund-portal.org,synthetic_generated
6,scam,WhatsApp,Account Block,Congratulations! You won Rs 21088 lottery. Claim via UPI now: http://npci-update.com,synthetic_generated
7,scam,WhatsApp,Cashback Scam,Fake receipt generated of Rs 26334. Confirm immediately: http://instant-claim.co,synthetic_generated
8,scam,WhatsApp,Cashback Scam,Your KYC for ICICI is expiring today. Update now to avoid suspension: http://kyc-update.com,synthetic_generated
9,scam,SMS,Fake QR,Congratulations! You won Rs 27378 lottery. Claim via UPI now: http://govt-subsidy.in,synthetic_generated
10,scam,SMS,Govt Subsidy,Suspicious login detected on your PNB UPI account. Secure now: http://upi-verify.in,synthetic_generated
11,scam,SMS,Fake Loan,Loan approved Rs 32243. Pay processing fee Rs 500 at http://instant-claim.co,synthetic_generated
12,scam,SMS,Account Block,PAN KYC verification failed. Update here http://securebanking.co.in,synthetic_generated
13,scam,SMS,Cashback Scam,Your Kotak debit card has been blocked. Click http://secure-upi.co.in to unblock immediately.,synthetic_generated
14,scam,WhatsApp,Cashback Scam,You have received Rs 38979 in your Kotak account. Click http://govt-subsidy.in to claim instantly.,synthetic_generated
15,scam,WhatsApp,Lottery Scam,Refund of Rs 48554 is pending. Confirm your UPI ID here: http://govt-subsidy.in,synthetic_generated
16,scam,WhatsApp,Govt Subsidy,Your SBI debit card has been blocked. Click http://securebanking.co.in to unblock immediately.,synthetic_generated
17,scam,SMS,Fake QR,Your UPI account is under verification. Provide OTP to continue.,synthetic_generated
18,scam,WhatsApp,Refund Fraud,Refund of Rs 27189 is pending. Confirm your UPI ID here: http://upi-helpdesk.net,synthetic_generated
19,scam,WhatsApp,Govt Subsidy,Suspicious login detected on your Axis UPI account. Secure now: http://secure-upi.co.in,synthetic_generated
20,scam,SMS,Cashback Scam,Pay Rs 20674 penalty to avoid FIR. Complete UPI payment at http://refund-portal.org,synthetic_generated
21,scam,WhatsApp,Cashback Scam,Govt subsidy Rs 7435 credited. Verify UPI ID at http://kyc-update.com,synthetic_generated
22,scam,SMS,Fake QR,Fake receipt generated of Rs 13384. Confirm immediately: http://upi-verify.in,synthetic_generated
23,scam,SMS,Cashback Scam,Suspicious login detected on your PNB UPI account. Secure now: http://kyc-update.com,synthetic_generated
24,scam,WhatsApp,KYC Update,You have received Rs 42709 in your PNB account. Click http://refund-portal.org to claim instantly.,synthetic_generated
25,scam,SMS,Fake QR,Get free cashback Rs 40372 on UPI. Claim offer: http://instant-claim.co,synthetic_generated
26,scam,WhatsApp,Cashback Scam,Your electricity bill Rs 12019 unpaid. Pay now via http://upi-helpdesk.net to avoid disconnection.,synthetic_generated
27,scam,SMS,Cashback Scam,Your KYC for ICICI is expiring today. Update now to avoid suspension: http://securebanking.co.in,synthetic_generated
28,scam,SMS,Cashback Scam,Your BOB debit card has been blocked. Click http://instant-claim.co to unblock immediately.,synthetic_generated
29,scam,SMS,Fake QR,PAN KYC verification failed. Update here http://upi-verify.in,synthetic_generated
30,scam,WhatsApp,Cashback Scam,Your HDFC debit card has been blocked. Click http://securebanking.co.in to unblock immediately.,synthetic_generated
31,scam,SMS,Overpayment,Suspicious login detected on your BOB UPI account. Secure now: http://securebanking.co.in,synthetic_generated
32,scam,WhatsApp,Govt Subsidy,Your SBI debit card has been blocked. Click http://secure-upi.co.in to unblock immediately.,synthetic_generated
33,scam,WhatsApp,Lottery Scam,Your KYC for HDFC is expiring today. Update now to avoid suspension: http://refund-portal.org,synthetic_generated
34,scam,SMS,Account Block,Govt subsidy Rs 25780 credited. Verify UPI ID at http://govt-subsidy.in,synthetic_generated
35,scam,SMS,Lottery Scam,Your UPI account is under verification. Provide OTP to continue.,synthetic_generated
36,scam,SMS,Impersonation,Loan approved Rs 12712. Pay processing fee Rs 500 at http://upi-verify.in,synthetic_generated
37,scam,SMS,KYC Update,Your Kotak debit card has been blocked. Click http://govt-subsidy.in to unblock immediately.,synthetic_generated
38,scam,WhatsApp,KYC Update,Get free cashback Rs 37904 on UPI. Claim offer: http://instant-claim.co,synthetic_generated
39,scam,WhatsApp,Cashback Scam,Your PNB debit card has been blocked. Click http://govt-subsidy.in to unblock immediately.,synthetic_generated
40,scam,WhatsApp,Impersonation,Govt subsidy Rs 47270 credited. Verify UPI ID at http://kyc-update.com,synthetic_generated
41,scam,WhatsApp,Fake Loan,Get free cashback Rs 37388 on UPI. Claim offer: http://upi-helpdesk.net,synthetic_generated
42,scam,SMS,Cashback Scam,You have received Rs 1664 in your Axis account. Click http://kyc-update.com to claim instantly.,synthetic_generated
43,scam,WhatsApp,Refund Fraud,Congratulations! You won Rs 35268 lottery. Claim via UPI now: http://refund-portal.org,synthetic_generated
44,scam,SMS,Impersonation,Loan approved Rs 26784. Pay processing fee Rs 500 at http://upi-verify.in,synthetic_generated
45,scam,WhatsApp,Lottery Scam,Your electricity bill Rs 5763 unpaid. Pay now via http://securebanking.co.in to avoid disconnection.,synthetic_generated
46,scam,WhatsApp,Refund Fraud,Govt subsidy Rs 41820 credited. Verify UPI ID at http://upi-verify.in,synthetic_generated
47,scam,SMS,Impersonation,Your electricity bill Rs 39302 unpaid. Pay now via http://npci-update.com to avoid disconnection.,synthetic_generated
48,scam,WhatsApp,Govt Subsidy,Loan approved Rs 18659. Pay processing fee Rs 500 at http://refund-portal.org,synthetic_generated
49,scam,WhatsApp,Overpayment,PAN KYC verification failed. Update here http://upi-helpdesk.net,synthetic_generated
50,scam,WhatsApp,Impersonation,Your SBI debit card has been blocked. Click http://refund-portal.org to unblock immediately.,synthetic_generated
51,scam,SMS,Impersonation,Govt subsidy Rs 9320 credited. Verify UPI ID at http://govt-subsidy.in,synthetic_generated
52,scam,WhatsApp,Fake QR,You have received Rs 10378 in your ICICI account. Click http://npci-update.com to claim instantly.,synthetic_generated
53,scam,WhatsApp,Cashback Scam,PAN KYC verification failed. Update here http://securebanking.co.in,synthetic_generated
54,scam,SMS,KYC Update,Get free cashback Rs 42051 on UPI. Claim offer: http://upi-helpdesk.net,synthetic_generated
55,scam,SMS,Cashback Scam,Fake receipt generated of Rs 25119. Confirm immediately: http://instant-claim.co,synthetic_generated
56,scam,SMS,Fake QR,Your KYC for PNB is expiring today. Update now to avoid suspension: http://secure-upi.co.in,synthetic_generated
57,scam,SMS,KYC Update,Refund of Rs 18764 is pending. Confirm your UPI ID here: http://upi-helpdesk.net,synthetic_generated
58,scam,WhatsApp,KYC Update,PAN KYC verification failed. Update here http://securebanking.co.in,synthetic_generated
59,scam,WhatsApp,KYC Update,Your PNB debit card has been blocked. Click http://secure-upi.co.in to unblock immediately.,synthetic_generated
60,scam,SMS,KYC Update,Your KYC for HDFC is expiring today. Update now to avoid suspension: http://instant-claim.co,synthetic_generated
61,scam,WhatsApp,KYC Update,Pay Rs 46805 penalty to avoid FIR. Complete UPI payment at http://upi-verify.in,synthetic_generated
62,scam,WhatsApp,Account Block,Get free cashback Rs 38675 on UPI. Claim offer: http://govt-subsidy.in,synthetic_generated
63,scam,SMS,Impersonation,Fake receipt generated of Rs 38979. Confirm immediately: http://refund-portal.org,synthetic_generated
64,scam,WhatsApp,Refund Fraud,PAN KYC verification failed. Update here http://govt-subsidy.in,synthetic_generated
65,scam,SMS,Fake QR,"Dear customer, your Kotak UPI account will be blocked in 24 hrs. Verify now: http://kyc-update.com",synthetic_generated
66,scam,WhatsApp,Govt Subsidy,"Dear customer, your ICICI UPI account will be blocked in 24 hrs. Verify now: http://govt-subsidy.in",synthetic_generated
67,scam,SMS,Impersonation,Congratulations! You won Rs 20340 lottery. Claim via UPI now: http://npci-update.com,synthetic_generated
68,scam,WhatsApp,Lottery Scam,"Dear customer, your ICICI UPI account will be blocked in 24 hrs. Verify now: http://refund-portal.org",synthetic_generated
69,scam,SMS,Refund Fraud,Govt subsidy Rs 32857 credited. Verify UPI ID at http://refund-portal.org,synthetic_generated
70,scam,SMS,Refund Fraud,Loan approved Rs 9882. Pay processing fee Rs 500 at http://npci-update.com,synthetic_generated
71,scam,WhatsApp,Fake QR,PAN KYC verification failed. Update here http://upi-helpdesk.net,synthetic_generated
72,scam,WhatsApp,Lottery Scam,Congratulations! You won Rs 13527 lottery. Claim via UPI now: http://refund-portal.org,synthetic_generated
73,scam,WhatsApp,KYC Update,Your KYC for PNB is expiring today. Update now to avoid suspension: http://upi-helpdesk.net,synthetic_generated
74,scam,SMS,Lottery Scam,Congratulations! You won Rs 4052 lottery. Claim via UPI now: http://securebanking.co.in,synthetic_generated
75,scam,WhatsApp,KYC Update,Loan approved Rs 31175. Pay processing fee Rs 500 at http://upi-verify.in,synthetic_generated
76,scam,SMS,Impersonation,Refund of Rs 31298 is pending. Confirm your UPI ID here: http://instant-claim.co,synthetic_generated
77,scam,SMS,Account Block,Loan approved Rs 38532. Pay processing fee Rs 500 at http://npci-update.com,synthetic_generated
78,scam,WhatsApp,Lottery Scam,Refund of Rs 43424 is pending. Confirm your UPI ID here: http://npci-update.com,synthetic_generated
79,scam,SMS,Lottery Scam,Your UPI account is under verification. Provide OTP to continue.,synthetic_generated
80,scam,WhatsApp,Cashback Scam,"Dear customer, your Kotak UPI account will be blocked in 24 hrs. Verify now: http://securebanking.co.in",synthetic_generated
81,scam,WhatsApp,KYC Update,Pay Rs 27051 penalty to avoid FIR. Complete UPI payment at http://govt-subsidy.in,synthetic_generated
82,scam,WhatsApp,Fake QR,Your UPI account is under verification. Provide OTP to continue.,synthetic_generated
83,scam,WhatsApp,Fake QR,Loan approved Rs 40636. Pay processing fee Rs 500 at http://upi-helpdesk.net,synthetic_generated
84,scam,WhatsApp,Govt Subsidy,Refund of Rs 37495 is pending. Confirm your UPI ID here: http://kyc-update.com,synthetic_generated
85,scam,WhatsApp,Overpayment,Loan approved Rs 5975. Pay processing fee Rs 500 at http://npci-update.com,synthetic_generated
86,scam,SMS,Fake Loan,Your UPI account is under verification. Provide OTP to continue.,synthetic_generated
87,scam,SMS,Refund Fraud,Get free cashback Rs 26791 on UPI. Claim offer: http://npci-update.com,synthetic_generated
88,scam,WhatsApp,Cashback Scam,Loan approved Rs 5705. Pay processing fee Rs 500 at http://upi-helpdesk.net,synthetic_generated
89,scam,WhatsApp,Refund Fraud,Fake receipt generated of Rs 29120. Confirm immediately: http://govt-subsidy.in,synthetic_generated
